AGL Technology Questionnaire						
RFP Questionnaire ID	Functional Area	Question	Provide details to address AGL's questions	References	Response Definition	Customisation Definition
RES.013	Data Privacy	Does your platform comply with GDPR, CCPA, and other major privacy regulations?	Databricks provides a general data processing service that can be used by customers in a variety of ways. Your choice of processing activities, including what data you collect and run through the Platform Services, determines which regulations are applicable to you. We can provide information on our products and services along with our security controls for you to evaluate whether your use of the Databricks Services will allow you to comply with your specific compliance obligations, but are unable to contractually take on your specific compliance obligations.  Importantly, Databricks itself is compliant with key privacy regulations such as the GDPR, CCPA, Swiss Data Protection Act, and UK Data Protection Laws, which are included in our default DPA language (https://databricks.com/dpa). Additionally, due to the way the Databricks platform is architected, customers retain control of most of their Customer Data within their own cloud service provider storage buckets and generally store little Customer Personal Data within the Databricks services themselves.  	References: Data governance with Databricks Find Sensitive Data at Scale with Data Classification in Unity Catalog Infosec Registered Assessors Program (IRAP) Canada Protected B	Full	Yes
RES.014	Data Privacy	How do you enforce privacy policies dynamically across distributed data environments?	Databricks enforces dynamic privacy policies across distributed environments through Unity Catalog's query-time evaluation of fine-grained access controls. Policies apply consistently regardless of data location or platform.  Unity Catalog evaluates row filters and column masks at query runtime using SQL user-defined functions against Microsoft Entra ID identities. Policy expressions check account-level group membership, eliminating workspace-specific configuration and ensuring identity-aware access control scales across your entire data estate.  Attribute-based access control (Public Preview) enables centralised policy definition through governed tags applied at catalog, schema, or table scope. Policies inherit downward automatically, reducing administrative overhead while maintaining granular control.  Lakehouse Federation extends Unity Catalog governance to external platforms including MySQL, PostgreSQL, Snowflake, Azure SQL, and AWS Redshift. Row and column security, lineage tracking, and audit logging apply to federated data without data movement, supporting distributed architectures while maintaining unified governance.  Storage-layer enforcement uses Azure managed identities and network isolation through VNet injection and Private Link. Data access occurs only through Unity Catalog securables, preventing policy bypass via direct storage access and maintaining security boundaries across multi-cloud environments.  	References: Access control in Unity Catalog Data governance with Databricks Completing the Lakehouse Vision - Unified Governance	Full	Yes
RES.015	Data Privacy	What capabilities exist for automated detection of sensitive data in unstructured sources?	Databricks provides three integrated capabilities for automated sensitive data detection across unstructured sources.  Unity Catalog Data Classification automatically scans catalogd data assets and applies PII tags such as email address and phone number. Results surface in system tables, and attribute-based access control policies then mask or filter columns based on these tags, enforcing least-privilege access.  Microsoft Purview integration extends detection to unstructured files in ADLS Gen2 containers including CSV, JSON, DOC, and PDF formats. Purview scans apply built-in sensitive information types and sensitivity labels whilst ingesting Unity Catalog metadata for unified discovery and lineage across the platform.  Agent Bricks Guardrails provide real-time PII detection and safety filtering on model serving and AI agent endpoints, preventing leakage of sensitive text in prompts or responses.  For unstructured data ingestion, Lakeflow Connect brings semi-structured and unstructured data into Delta Lake tables where Unity Catalog classification and ABAC policies apply automatically.  Security is enforced through Entra ID managed identities, Private Link connectivity, and serverless network-controlled compute to mitigate exfiltration risks. All detections and access events are auditable through Unity Catalog system tables.  	References: Data Classification | Databricks on AWS Find Sensitive Data at Scale with Data Classification in Unity Catalog Build an unstructured data pipeline for RAG | Databricks on AWS Data and AI governance for the data lakehouse | Databricks on AWS	Full	Yes
RES.016	Data Privacy	How do you support privacy-by-design in AI/ML workflows?	Databricks embeds privacy-by-design through Unity Catalog's hierarchical access controls, which enforce governance at catalog, schema, and table levels with row filters, column masks, and attribute-based policies. Data lineage tracks privacy-sensitive fields end-to-end across Delta Lake and Iceberg tables, supporting compliance reporting for AGL's customer and operational data across Retail, Markets, and Corporate domains.  Identity management integrates Microsoft Entra ID for SSO and least-privilege access, with credentials secured in Azure Key Vault. Private networking via VNet injection and Azure Private Link eliminates public exposure. Serverless workloads use Network Connectivity Configurations to privately access ADLS and 60+ Azure services including Azure OpenAI.  For AI/ML workflows, MLflow models registered in Unity Catalog inherit governance policies automatically. Agent Bricks Gateway enforces safety filters and PII detection, with payload logging to auditable Unity Catalog tables. System tables capture fine-grained usage, permissions changes, and endpoint activity for compliance reporting aligned with TCFD and GRI frameworks.  Storage firewalls and end-to-end Private Link prevent data exfiltration while enabling governed AI innovation across AGL's energy hubs and customer platforms.  	References: Data and AI governance for the data lakehouse Announcing Advanced Security and Governance in Agent Bricks Gateway Privacy-centric collaboration on AI with Databricks Clean Rooms Best practices for data and AI governance	Full	Yes
RES.017	Data Privacy	How do you enforce compliance with Australian Privacy Principles (APPs) for customer energy data?	Databricks will give you the platform and the mechanisms to enforce Australian Privacy Principles compliance through Unity Catalogue's centralised governance framework, mapping directly to APP requirements across AGL's customer energy data estate, but we do not enforce APPs.  For APP 6, 10 and 11 (use, quality and security), Unity Catalog provides fine-grained table, row and column-level policies with attribute-based access controls. These policies define once and secure everywhere, ensuring permissible use of customer energy data and evidencing quality controls.  Identity controls integrate with Microsoft Entra ID for single sign-on and least-privilege access (APP 11). Private networking via Azure Private Link keeps workspace traffic on the Microsoft backbone, ensuring customer data remains within Australian regions (APP 8, 11). Data Exfiltration Protection restricts egress to approved endpoints only.  System tables capture all audit events streaming to Azure Monitor, providing evidence of policy enforcement and supporting transparency obligations (APP 1, 11). Delta Lake's governed retention and VACUUM capabilities permanently remove data files post-deletion, supporting defensible purge requirements (APP 10, 11). Row filters and masks implement anonymity requirements in governed views, with lineage supporting access and correction workflows.  	References: Infosec Registered Assessors Program (IRAP) Prepare your data for GDPR compliance Data Classification Find Sensitive Data at Scale with Data Classification in Unity Catalog	Full	Yes
RES.018	Data Privacy	Do you provide accelerators for secure handling of Personally Identifiable Information in Australian Utilities Industry?	Yes. Databricks provides Automatic Data Classification in Unity Catalog which can help accelerate secure PII handling in Australian utilities.  This capability uses agentic AI to automatically discover, classify and tag PII across your lakehouse, then enforces policy-based protection through attribute-based access controls. Classification runs incrementally as data changes, triggering governance workflows and remediation where needed. The outputs integrate directly with Unity Catalog's row filters and column masks to enforce least-privilege access at scale.  For AGL's Azure environment, we integrate natively with Microsoft Entra ID for SSO and MFA, use managed identities via the Databricks Access Connector for secure ADLS Gen2 access, and deliver audit logs to Azure Monitor for compliance evidence. End-to-end column lineage supports impact analysis for privacy assessments.  This approach directly supports AGL's Consumer Data Right obligations by reducing manual PII identification effort and accelerating compliant data sharing across business domains, while maintaining alignment with your existing Microsoft Cloud security standards.  	References: Find Sensitive Data at Scale with Data Classification in Unity Catalog Infosec Registered Assessors Program (IRAP) Data governance with Databricks Prepare your data for GDPR compliance	Full	Yes
RES.019	Identity & Access Management	Does your solution integrate with enterprise identity providers (Azure AD, Okta)?	Yes. Databricks integrates natively with Microsoft Entra ID (Azure AD) and Okta for enterprise single sign-on and identity management.  Integration capabilities include:  1. SSO protocols: OIDC and SAML 2.0 support for seamless authentication 2. Automated provisioning: SCIM 2.0 for user and group synchronisation at the account level 3. Advanced Entra ID features: Automatic identity management including just-in-time provisioning and nested group support, reducing operational overhead  These integrations operate at the Databricks account level, enabling centralised identity governance across all workspaces. For AGL, this means your existing identity infrastructure extends directly into the Data Intelligence Platform, maintaining consistent access controls and audit trails across your data and AI estate without requiring separate identity management workflows.  	References: Identity best practices - Azure Databricks Automatic Identity Management for Entra ID is now Generally Available in Azure Databricks Identity best practices - Databricks on AWS	Full	Yes
RES.020	Identity & Access Management	How do you implement fine-grained, context-aware access control for large-scale data platforms?	Databricks implements fine-grained, context-aware access control through Unity Catalog's hierarchical governance model, integrated with Azure-native identity and networking controls.  Unity Catalog enforces privileges at catalog, schema, table, and column levels, with dynamic row filters and column masks applied at query time. Attribute-based access control (ABAC) policies centralise filter logic across multiple catalogs, reducing administrative overhead while maintaining granular control over sensitive datasets.  Context-aware enforcement combines Microsoft Entra ID single sign-on with Conditional Access policies that evaluate device posture, network location, and user risk before granting workspace access. IP access lists and context-based ingress policies provide network-layer controls. Private Link connectivity (front-end and back-end) ensures that control-plane and data-plane traffic remains on the Microsoft backbone, eliminating exposure to the public internet.  Storage access to ADLS Gen2 uses managed identities via Databricks Access Connectors, with storage credentials and external locations defined in Unity Catalog. This approach supports storage firewalls and private endpoints while maintaining governed access patterns.  Auditing through Unity Catalog system tables (system.access.audit) and Azure diagnostic logs captures fine-grained usage, permission changes, and data lineage at the table and column level.  For AGL, this architecture supports operational separation across energy trading, customer, and network data domains while meeting compliance requirements for high-value telemetry and market data. The approach aligns with AGL's need for transparent, auditable access controls as the organisation scales its data and AI capabilities.  	References: Access control in Unity Catalog How to scale data governance with Attribute-Based Access Control in Unity Catalog Identity best practices Security, compliance, and privacy for the data lakehouse	Full	Yes
RES.021	Identity & Access Management	What is your approach for managing privileged access in multi-tenant environments?	Databricks manages privileged access in multi-tenant environments through Unity Catalog, enforcing least-privilege access and strong tenant isolation across AGL's AWS and Azure deployments. With Microsoft Entra ID serving as the identity bridge connecting AGL's enterprise directory to the Databricks Data Intelligence Platform across AWS and Azure deployments.  Unity Catalog provides hierarchical privileges at catalog, schema, table, view, and model levels with explicit ownership controls. Workspace binding restricts which workspaces can access specific catalogs and credentials, enabling business-unit separation. Workspace admins receive no automatic Unity Catalog privileges; account and metastore admin roles require explicit assignment and are fully audit-logged.  Identity controls integrate Microsoft Entra ID for SSO, MFA, and SCIM-based user and group synchronisation. Azure managed identities through the Access Connector govern storage access to external locations, combined with storage firewalls and private endpoints. Secrets management uses Azure Key Vault-backed scopes with read-only access and scope-level ACLs.  Network isolation leverages Azure Private Link and serverless Network Connectivity Configurations, with IP access lists for conditional ingress control. All privileged activity is captured in Unity Catalog system tables and Azure logs. Token management policies limit personal access tokens in favour of short-lived OAuth and Entra tokens for administrative access.  	References: Identity best practices Sync users and groups from your identity provider using SCIM Security best practices for the Databricks Data Intelligence Platform Introducing next-level identity security at Databricks	Full	Yes
RES.022	Identity & Access Management	How do you integrate zero-trust principles into your IAM architecture?	Databricks implements zero-trust IAM through identity verification, least-privilege enforcement, network isolation, and continuous monitoring.  Identity verification: Microsoft Entra ID integration enforces SSO, MFA, and Conditional Access for every session, validating identity, device compliance, and sign-in risk. SCIM automates just-in-time user lifecycle management.  Least-privilege access: Unity Catalog centralises RBAC at catalog, schema, and table levels with row filters and column masks applied at query time. Attribute-based access control uses governed tags to dynamically enforce least-privilege without per-object configuration.  Network isolation: Azure Private Link eliminates public internet exposure for all connections. Secure Cluster Connectivity ensures clusters connect via private relay only.  Token management: OAuth 2.0 (user-to-machine and machine-to-machine) with token management APIs enforce rotation policies and eliminate long-lived credentials.  Assume breach: System Tables capture all authentication, authorisation, and data access events with end-to-end lineage for real-time threat detection.  Encryption: Data is encrypted in transit (TLS 1.2+) and at rest (AES-256), with optional customer-managed keys via Azure Key Vault.  	References: Identity best practices Configure authorization in a Databricks app Best practices for security, compliance, and privacy Introducing next-level identity security at Databricks Security best practices for the Databricks Data Intelligence Platform	Full	Yes
RES.023	Identity & Access Management	What innovations do you offer for adaptive authentication based on risk scoring?	Databricks leverages Microsoft Entra ID Protection for adaptive authentication, continuously scoring risk against billions of global threat signals. Every sign-in is evaluated in real time for compromised credentials, impossible travel patterns, malicious IP addresses, and anomalous user behaviour.  Based on calculated risk levels, Entra ID Protection dynamically enforces appropriate controls: step-up MFA challenges, mandatory password resets, or access blocks. These policies integrate seamlessly with Unity Catalog's fine-grained access controls, ensuring authenticated sessions respect data governance rules throughout.  For AGL's multi-cloud environment spanning AWS and Azure, this approach delivers consistent risk-based authentication across both platforms without a separate identity infrastructure. Risk policies can be tuned to AGL's specific threat profile and compliance requirements, with full audit trails captured for security operations and regulatory reporting.  	References: Identity best practices Authentication and access control Introducing next-level identity security at Databricks Automatic Identity Management for Entra ID is now Generally Available in Azure Databricks	Partial	Yes
